Gene.identifier	RefSeq.ID	Gene.Symbol	Entrez.Gene	Alternate.Gene.Symbols	Gene.Description	X	MouseGene
ENSG00000104823	NM_001398	ECH1	1891	HPXEL	enoyl Coenzyme A hydratase 1, peroxisomal (ECH1), mRNA.	G0/1 arrest	Ech1
ENSG00000146278	NM_006813	PNRC1	10957	B4-2, PRR2, PROL2, PNAS-145, RP11-63L7.5	proline-rich nuclear receptor coactivator 1 (PNRC1), mRNA.	G0/1 arrest	Pnrc1
ENSG00000107338	NM_003028	SHB	6461	RP11-3J10.8	Src homology 2 domain containing adaptor protein B (SHB), mRNA.	G0/1 arrest	Shb
ENSG00000081041	NM_002089	CXCL2	2920	GRO2, GROb, MIP2, MIP2A, SCYB2, MGSA-b,MIP-2a, CINC-2a, MGSA beta	chemokine (C-X-C motif) ligand 2 (CXCL2), mRNA.	G0/1 arrest	Cxcl1
ENSG00000145384	NM_000134	FABP2	2169	FABPI, I-FABP, MGC133132	fatty acid binding protein 2, intestinal (FABP2), mRNA.	G0/1 arrest	Fabp2
ENSG00000137331	NM_003897	IER3	8870	DIF2, IEX1, PRG1, DIF-2, GLY96, IEX-1,IEX-1L	immediate early response 3 (IER3), transcript variant short, mRNA.	G0/1 arrest	Ier3
ENSG00000114850	NM_007107	SSR3	6747	TRAPG, SSR gamma	signal sequence receptor, gamma (translocon-associated protein gamma) (SSR3), mRNA.	G0/1 arrest	Ssr3
ENSG00000168078	NM_018492	PBK	55872	SPK, TOPK, Nori-3, FLJ14385	PDZ binding kinase (PBK), mRNA.	G0/1 arrest	Pbk
ENSG00000196220	NM_001033116	SRGAP2	9901	WRP, MEGAP, SRGAP3, ARHGAP14, KIAA0411	SLIT-ROBO Rho GTPase activating protein 3 (SRGAP3), transcript variant 3, mRNA.	G0/1 arrest	Srgap2
ENSG00000167333	NM_018073	TRIM68	55128	SS-56, RNF137, FLJ10369	tripartite motif-containing 68 (TRIM68), mRNA.	G0/1 arrest	Trim68
ENSG00000143882	NM_144583	ATP6V1C2	245973	VMA5, ATP6C2	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2 (ATP6V1C2), transcript variant 2, mRNA.	G0/1 arrest	Atp6v1c2
ENSG00000128052	NM_002253	KDR	3791	FLK1, CD309, VEGFR, VEGFR2	kinase insert domain receptor (a type III receptor tyrosine kinase) (KDR), mRNA.	G0/1 arrest	Kdr
ENSG00000128331	NM_002058	GGT1	2679	GGT, GGT2	gamma-glutamyltransferase 2 (GGT2), mRNA.	G0/1 arrest	Ggt1
ENSG00000130227	NM_015024	XPO7	23039	RANBP16, KIAA0745	exportin 7 (XPO7), mRNA.	G0/1 arrest	Xpo7
ENSG00000189195	NM_183242	BTBD8	284697		BTB (POZ) domain containing 8 (BTBD8), mRNA.	G0/1 arrest	Btbd8
ENSG00000197622	NM_020239	CDC42SE1	56882	SCIP1, SPEC1	CDC42 small effector 1 (CDC42SE1), transcript variant 2, mRNA.	G0/1 arrest	Cdc42se1
ENSG00000174953	NM_020865	DHX36	170506	DDX36, MLEL1, KIAA1488	DEAH (Asp-Glu-Ala-His) box polypeptide 36 (DHX36), mRNA.	G0/1 arrest	Dhx36
ENSG00000125775	NM_080489	SDCBP2	27111	ST-2, SITAC18	syndecan binding protein (syntenin) 2 (SDCBP2), transcript variant 1, mRNA.	G0/1 arrest	Sdcbp2
ENSG00000050327	NM_001002861,NM_005435	ARHGEF5	7984	P60, TIM, GEF5, TIM1, DKFZp686N1969	Rho guanine nucleotide exchange factor (GEF) 5 (ARHGEF5), transcript variant 2, mRNA.	G0/1 arrest	Arhgef5
ENSG00000101412	NM_005225	E2F1	1869	RBP3, E2F-1, RBBP3	E2F transcription factor 1 (E2F1), mRNA.	G0/1 arrest	E2f1
ENSG00000111652	NM_016319	COPS7A	50813	MGC110877	COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis) (COPS7A), mRNA.	G0/1 arrest	Cops7a
ENSG00000107949	NM_078469	BCCIP	56647	TOK-1	BRCA2 and CDKN1A interacting protein (BCCIP), transcript variant C, mRNA.	G0/1 arrest	Bccip
ENSG00000157881	NM_018216	PANK4	55229	FLJ10782, DKFZp547M242	pantothenate kinase 4 (PANK4), mRNA.	G0/1 arrest	Pank4
ENSG00000153560	NM_014517	UBP1	7342	LBP1A, LBP1B, LBP-1B, LBP-1a,DKFZp686L1745	upstream binding protein 1 (LBP-1a) (UBP1), mRNA.	G0/1 arrest	Ubp1
ENSG00000140015	NM_172376	KCNH5	27133	EAG2, H-EAG2, Kv10.2	potassium voltage-gated channel, subfamily H (eag-related), member 5 (KCNH5), transcript variant 2, mRNA.	G0/1 arrest	Kcnh5
ENSG00000053702	NM_031474	NRIP2	83714	DKFZP761G1913	nuclear receptor interacting protein 2 (NRIP2), mRNA.	G0/1 arrest	Nrip2
ENSG00000128346	NM_032561	C22orf23	84645	EVG1, FLJ32787, dJ1039K5.6	chromosome 22 open reading frame 23 (C22orf23), mRNA.	G0/1 arrest	1700088E04Rik
ENSG00000049323	NM_206943	LTBP1	4052		latent transforming growth factor beta binding protein 1 (LTBP1), transcript variant 1, mRNA.	G0/1 arrest	Ltbp1
ENSG00000180398	NM_139279	MCFD2	90411	F5F8D, SDNSF, LMAN1IP, DKFZp686G21263	multiple coagulation factor deficiency 2 (MCFD2), mRNA.	G0/1 arrest	Mcfd2
ENSG00000038295	NM_012464	TLL1	7092	TLL	tolloid-like 1 (TLL1), mRNA.	G0/1 arrest	Tll1
ENSG00000143375	NM_020770	CGN	57530	FLJ39281, KIAA1319	cingulin (CGN), mRNA.	G0/1 arrest	Cgn
ENSG00000163521	NM_024506	GLB1L	79411	MGC10771	galactosidase, beta 1-like (GLB1L), mRNA.	G0/1 arrest	Glb1l
ENSG00000107862	NM_004193	GBF1	8729	FLJ21263, FLJ21500, KIAA0248, MGC134877,MGC134878	golgi-specific brefeldin A resistance factor 1 (GBF1), mRNA.	G0/1 arrest	Gbf1
ENSG00000152601	NM_021038,NM_207292,NM_207295,NM_207293,NM_207297,NM_207296	MBNL1	4154	EXP, MBNL, EXP35, EXP40, EXP42, KIAA0428,DKFZp686P06174	muscleblind-like (Drosophila) (MBNL1), transcript variant 1, mRNA.	G0/1 arrest	Mbnl1
ENSG00000166794	NM_000942	PPIB	5479	CYPB, SCYLP, CYP-S1, MGC2224, MGC14109	peptidylprolyl isomerase B (cyclophilin B) (PPIB), mRNA.	G0/1 arrest	Ppib
ENSG00000116096	NM_003124	SPR	6697		sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) (SPR), mRNA.	G0/1 arrest	Spr
ENSG00000132840	NM_017614	BHMT2	23743	FLJ20001	betaine-homocysteine methyltransferase 2 (BHMT2), mRNA.	G0/1 arrest	Bhmt2
ENSG00000174093	XM_496214,NM_006310	NPEPPS	653118	LOC653118	PREDICTED: similar to aminopeptidase puromycin sensitive (LOC653118), mRNA.	G0/1 arrest	Npepps
ENSG00000092871	NM_057178	RFFL	117584	RNF189, RNF34L	ring finger and FYVE-like domain containing 1 (RFFL), transcript variant 1, mRNA.	G0/1 arrest	Rffl
ENSG00000143570	NM_014437	SLC39A1	27173	ZIP1, ZIRTL	solute carrier family 39 (zinc transporter), member 1 (SLC39A1), mRNA.	G0/1 arrest	Slc39a1
ENSG00000144029	NM_031902	MRPS5	64969	MRP-S5	mitochondrial ribosomal protein S5 (MRPS5), nuclear gene encoding mitochondrial protein, mRNA.	G0/1 arrest	Mrps5
ENSG00000081803	NM_001009571,NM_017954	CADPS2	93664	FLJ40851, KIAA1591	Ca2+-dependent activator protein for secretion 2 (CADPS2), transcript variant 2, mRNA.	G0/1 arrest	Cadps2
ENSG00000142166	NM_000629	IFNAR1	3454	AVP, IFRC, IFNAR, IFNBR, IFN-alpha-REC	interferon (alpha, beta and omega) receptor 1 (IFNAR1), mRNA.	G0/1 arrest	Ifnar1
ENSG00000173503	NM_000595	LTA	4049	LT, TNFB, TNFSF1	lymphotoxin alpha (TNF superfamily, member 1) (LTA), mRNA.	G0/1 arrest	Lta
ENSG00000185697	NM_001080416	MYBL1	4603	A-MYB, AMYB, MGC120059, MGC120061	v-myb myeloblastosis viral oncogene homolog (avian)-like 1 	G0/1 arrest	Mybl1
ENSG00000129354	NM_005498	AP1M2	10053	MU1B, MU-1B, HSMU1B	adaptor-related protein complex 1, mu 2 subunit (AP1M2), mRNA.	G0/1 arrest	Ap1m2
ENSG00000129244	NM_001678	ATP1B2	482	AMOG	ATPase, Na+/K+ transporting, beta 2 polypeptide (ATP1B2), mRNA.	G0/1 arrest	Atp1b2
ENSG00000179399	NM_004466	GPC5	2262		glypican 5 (GPC5), mRNA.	G0/1 arrest	Gpc5
ENSG00000184634	NM_005120	MED12	9968	HOPA, OPA1, CAGH45, TNRC11, TRAP230,KIAA0192	mediator of RNA polymerase II transcription, subunit 12 homolog (S. cerevisiae) (MED12), mRNA.	G0/1 arrest	Med12
ENSG00000132698	NM_020387	RAB25	57111	CATX-8	RAB25, member RAS oncogene family (RAB25), mRNA.	G0/1 arrest	Rab25
ENSG00000008083	NM_004973	JARID2	3720	JMJ	Jumonji, AT rich interactive domain 2 (JARID2), mRNA.	G0/1 arrest	Jarid2
ENSG00000107984	NM_012242	DKK1	22943	SK, DKK-1	dickkopf homolog 1 (Xenopus laevis) (DKK1), mRNA.	G0/1 arrest	Dkk1
ENSG00000137727	NM_020809	ARHGAP20	57569	KIAA1391, RARHOGAP	Rho GTPase activating protein 20 (ARHGAP20), mRNA.	G0/1 arrest	Arhgap20
ENSG00000136271	NM_019082	DDX56	54606	DDX21, NOH61	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56 (DDX56), mRNA.	G0/1 arrest	Ddx56
ENSG00000144278	NM_052917	GALNT13	114805	FLJ16031, FLJ41157, KIAA1918, GalNAc-T13	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13) (GALNT13), mRNA.	G0/1 arrest	Galnt13
ENSG00000054116	NM_014408	TRAPPC3	27095	BET3	trafficking protein particle complex 3 (TRAPPC3), mRNA.	G0/1 arrest	Trappc3
ENSG00000093222	NM_017886	ULK4	54986	DKFZp434E1822, FAM7C1, FLJ20574, REC01035	unc-51-like kinase 4 (C. elegans)	G0/1 arrest	Ulk4
ENSG00000115365	NM_006055	LANCL1	10314	p40, GPR69A	LanC lantibiotic synthetase component C-like 1 (bacterial) (LANCL1), mRNA.	G0/1 arrest	Lancl1
ENSG00000117650	NM_002497	NEK2	4751	NLK1, NEK2A, HsPK21, HsPK 21	NIMA (never in mitosis gene a)-related kinase 2 (NEK2), mRNA.	G0/1 arrest	Nek2
ENSG00000091513	NM_001063	TF	7018	PRO1557, PRO2086	transferrin (TF), mRNA.	G0/1 arrest	Trf
ENSG00000112290	NM_001024936	WASF1	8936	WAVE, SCAR1, WAVE1, FLJ31482, KIAA0269	WAS protein family, member 1 (WASF1), transcript variant 4, mRNA.	G0/1 arrest	Wasf1
ENSG00000070748	NM_020984,NM_020985,NM_020549	CHAT	1103	CMS1A, CMS1A2	choline acetyltransferase (CHAT), transcript variant R, mRNA.	G0/1 arrest	Chat
ENSG00000135821	NM_002065	GLUL	2752	GS, GLNS, PIG43	glutamate-ammonia ligase (glutamine synthetase) (GLUL), transcript variant 1, mRNA.	G0/1 arrest	Glul
ENSG00000115839	NM_012233	RAB3GAP1	22930	P130, WARBM1, RAB3GAP, KIAA0066,RAB3GAP130, DKFZp434A012	RAB3 GTPase activating protein subunit 1 (catalytic) (RAB3GAP1), mRNA.	G0/1 arrest	Rab3gap1
ENSG00000186652	NM_002728	PRG2	5553	MBP, BMPG, MGC14537	proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein) (PRG2), mRNA.	G0/1 arrest	Prg2
ENSG00000136888	NM_004888	ATP6V1G1	9550	ATP6G, ATP6J, Vma10, ATP6G1, ATP6GL,DKFZp547P234	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1 (ATP6V1G1), mRNA.	G0/1 arrest	Atp6v1g1
ENSG00000140264	NM_001018108,NM_016400	SERF2	10169	FAM2C, 4F5REL, H4F5rel, FLJ20431,HsT17089, MGC48826	small EDRK-rich factor 2 (SERF2), mRNA.	G0/1 arrest	Serf2
ENSG00000115568	NM_005081	ZNF142	7701	pHZ-49	zinc finger protein 142 (ZNF142), mRNA.	G0/1 arrest	Zfp142
ENSG00000183580	NM_012304	FBXL7	23194	FBL6, FBL7	F-box and leucine-rich repeat protein 7 (FBXL7), mRNA.	G0/1 arrest	Fbxl7
ENSG00000180228	NM_003690	PRKRA	8575	RAX, PACT, HSD14	protein kinase, interferon-inducible double stranded RNA dependent activator (PRKRA), mRNA.	G0/1 arrest	Prkra
ENSG00000175166	NM_002808	PSMD2	5708	S2, P97, TRAP2, MGC14274	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2 (PSMD2), mRNA.	G0/1 arrest	Psmd2
ENSG00000154065	NM_173505	ANKRD29	147463	FLJ25053	ankyrin repeat domain 29 (ANKRD29), mRNA.	G0/1 arrest	Ankrd29
ENSG00000197265	NM_002095	GTF2E2	2961	FE, TF2E2, TFIIE-B	general transcription factor IIE, polypeptide 2, beta 34kDa (GTF2E2), mRNA.	G0/1 arrest	Gtf2e2
ENSG00000161905	NM_001140	ALOX15	246		arachidonate 15-lipoxygenase (ALOX15), mRNA.	G0/1 arrest	Alox15
ENSG00000177938	NM_033328	CAPZA3	93661	Gsg3, CAPPA3	capping protein (actin filament) muscle Z-line, alpha 3 (CAPZA3), mRNA.	G0/1 arrest	Capza3
ENSG00000144136	NM_005415	SLC20A1	6574	PIT1, GLVR1, PiT-1, Glvr-1	solute carrier family 20 (phosphate transporter), member 1 (SLC20A1), mRNA.	G0/1 arrest	Slc20a1
ENSG00000113384	NM_022130	GOLPH3	64083	GOPP1, GPP34, FLJ90675	golgi phosphoprotein 3 (coat-protein) (GOLPH3), mRNA.	G0/1 arrest	Golph3
ENSG00000131323	NM_145726,NM_003300	TRAF3	7187	LAP1, CAP-1, CRAF1, CD40bp	TNF receptor-associated factor 3 (TRAF3), transcript variant 2, mRNA.	G0/1 arrest	Traf3
ENSG00000100393	NM_001429	EP300	2033	p300	E1A binding protein p300 (EP300), mRNA.	G0/1 arrest	Ep300
ENSG00000129214	NM_001040	SHBG	6462	ABP, MGC126834, MGC138391	sex hormone-binding globulin (SHBG), mRNA.	G0/1 arrest	Shbg
ENSG00000178568	NM_005235	ERBB4	2066	HER4, MGC138404	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian) (ERBB4), mRNA.	G0/1 arrest	Erbb4
ENSG00000150961	NM_014822	SEC24D	9871	FLJ43974, KIAA0755	SEC24 related gene family, member D (S. cerevisiae) (SEC24D), mRNA.	G0/1 arrest	Sec24d
ENSG00000153531	NM_138430,NM_199162	ADPRHL1	113622	ARH2	ADP-ribosylhydrolase like 1 (ADPRHL1), transcript variant 1, mRNA.	G0/1 arrest	Adprhl1
ENSG00000116337	NM_139156,NM_004037	AMPD2	271		adenosine monophosphate deaminase 2 (isoform L) (AMPD2), transcript variant 2, mRNA.	G0/1 arrest	Ampd2
ENSG00000198326	NM_080739	C20orf141	128653	RP5-860F19.6, MGC26144, dJ860F19.4	chromosome 20 open reading frame 141	G0/1 arrest	1700020A23Rik
ENSG00000135093	NM_032663	USP30	84749	FLJ40511, MGC10702	ubiquitin specific peptidase 30 (USP30), mRNA.	G0/1 arrest	Usp30
ENSG00000161217	NM_005017	PCYT1A	5130	CT, CTPCT, PCYT1	phosphate cytidylyltransferase 1, choline, alpha (PCYT1A), mRNA.	G0/1 arrest	Pcyt1a
ENSG00000129351	NM_012218,NM_153464	ILF3	3609	DRBF, MMP4, MPP4, NF90, NFAR, TCP80,DRBP76, NFAR-1, MPHOSPH4, NF-AT-90	interleukin enhancer binding factor 3, 90kDa (ILF3), transcript variant 1, mRNA.	G0/1 arrest	Ilf3
ENSG00000196072	NM_001001342,NM_173809	BLOC1S2	282991	BLOS2, FLJ30135, MGC10120, RP11-316M21.4	biogenesis of lysosome-related organelles complex-1, subunit 2 (BLOC1S2), transcript variant 2, mRNA.	G0/1 arrest	Bloc1s2
ENSG00000016391	NM_018397	CHDH	55349		choline dehydrogenase (CHDH), mRNA.	G0/1 arrest	Chdh
ENSG00000169118	NM_001011664,NM_022048	CSNK1G1	53944		casein kinase 1, gamma 1 (CSNK1G1), transcript variant 1, mRNA.	G0/1 arrest	Csnk1g1
ENSG00000136813	NM_001080398	KIAA0368	23392	ECM29, FLJ22036, KIAA1962, RP11-386D8.2	KIAA0368 protein (KIAA0368), mRNA.	G0/1 arrest	AI314180
ENSG00000108344	NM_002809	PSMD3	5709	S3, P58, RPN3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3 (PSMD3), mRNA.	G0/1 arrest	Psmd3
ENSG00000180658	NM_030908	OR2A4	79541	OR2A10	olfactory receptor, family 2, subfamily A, member 4 (OR2A4), mRNA.	G0/1 arrest	Olfr13
ENSG00000163964	NM_017861	PIGX	54965	FLJ20522	phosphatidylinositol glycan anchor biosynthesis, class X (PIGX), mRNA.	G0/1 arrest	Pigx
ENSG00000171989	NM_033195	LDHAL6B	92483	LDHL, LDHAL6	lactate dehydrogenase A-like 6B (LDHAL6B), mRNA.	G0/1 arrest	Ldhal6b
ENSG00000186509	NM_001005212	OR9Q1	219956	MGC131737	olfactory receptor, family 9, subfamily Q, member 1 (OR9Q1), mRNA.	G0/1 arrest	Olfr1500
ENSG00000048707	NM_015378,NM_018156	VPS13D	55187	FLJ23066	vacuolar protein sorting 13 homolog D (S. cerevisiae) (VPS13D), transcript variant 1, mRNA.	G0/1 arrest	Vps13d
ENSG00000186831	NM_000422	KRT17	3872	PC, K17, PC2, PCHC1	keratin 17 (KRT17), mRNA.	G0/1 arrest	Krt17
ENSG00000151923	NM_022333	TIAL1	7073	MGC33401, TCBP, TIAR	TIA1 cytotoxic granule-associated RNA binding protein-like 1	G0/1 arrest	Tial1
ENSG00000099341	NM_002812	PSMD8	5714	S14, p31, HIP6, HYPF, Nin1p, MGC1660	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8 (PSMD8), mRNA.	G0/1 arrest	Psmd8
ENSG00000177370	NM_013337	TIMM22	29928	TEX4, TIM22	translocase of inner mitochondrial membrane 22 homolog (yeast) (TIMM22), mRNA.	G0/1 arrest	Timm22
ENSG00000103257	NM_003486	SLC7A5	8140	E16, CD98, LAT1, 4F2LC, MPE16, hLAT1,D16S469E	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 (SLC7A5), mRNA.	G0/1 arrest	Slc7a5
ENSG00000160953	NM_032853	MUM1	84939	MUM-1, HSPC211, FLJ14868, FLJ22283	melanoma associated antigen (mutated) 1 (MUM1), mRNA.	G0/1 arrest	Mum1
ENSG00000100664	NM_183004	EIF5	1983	EIF-5A	eukaryotic translation initiation factor 5 (EIF5), transcript variant 2, mRNA.	G0/1 arrest	Eif5
ENSG00000103429	NM_016561	BFAR	51283	BAR, RNF47	bifunctional apoptosis regulator (BFAR), mRNA.	G0/1 arrest	Bfar
ENSG00000163636	NM_014814	PSMD6	9861	S10, p44S10, KIAA0107, SGA-113M	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6 (PSMD6), mRNA.	G0/1 arrest	Psmd6
ENSG00000138600	NM_032802	SPPL2A	84888	IMP3, PSL2	signal peptide peptidase-like 2A (SPPL2A), mRNA.	G0/1 arrest	Sppl2a
ENSG00000035499	NM_018369	DEPDC1B	55789	XTP1, FLJ11252	DEP domain containing 1B (DEPDC1B), mRNA.	G0/1 arrest	Depdc1b
ENSG00000116663	NM_018438	FBXO6	26270	FBG2, FBS2, FBX6, Fbx6b	F-box protein 6 (FBXO6), mRNA.	G0/1 arrest	Fbxo6
ENSG00000136052	NM_032148	SLC41A2	84102	SLC41A1-L1, DKFZP434K0427	solute carrier family 41, member 2 (SLC41A2), mRNA.	G0/1 arrest	Slc41a2
ENSG00000116641	NM_033407	DOCK7	85440	ZIR2, KIAA1771	dedicator of cytokinesis 7 (DOCK7), mRNA.	G0/1 arrest	Dock7
ENSG00000122584	NM_152745	NXPH1	30010	NPH1, Nbla00697	neurexophilin 1 (NXPH1), mRNA.	G0/1 arrest	Nxph1
ENSG00000198643	NM_138805	FAM3D	131177	EF7, OIT1	family with sequence similarity 3, member D (FAM3D), mRNA.	G0/1 arrest	Oit1
ENSG00000163661	NM_002852	PTX3	5806	TSG-14, TNFAIP5	pentraxin-related gene, rapidly induced by IL-1 beta (PTX3), mRNA.	G2 arrest	Ptx3
ENSG00000123213	NM_020726	NLN	57486	AGTBP, KIAA1226, DKFZp564F123	neurolysin (metallopeptidase M3 family) (NLN), mRNA.	G2 arrest	Nln
ENSG00000189060	NM_005318	H1F0	3005	H10, H1FV, MGC5241	H1 histone family, member 0 (H1F0), mRNA.	G2 arrest	H1f0
ENSG00000149177	NM_002843	PTPRJ	5795	DEP1, SCC1, CD148, HPTPeta, R-PTP-ETA	protein tyrosine phosphatase, receptor type, J (PTPRJ), mRNA.	G2 arrest	Ptprj
ENSG00000119402	NM_012164	FBXW2	26190	Md6, FBW2, Fwd2, MGC117371	F-box and WD-40 domain protein 2 (FBXW2), mRNA.	G2 arrest	Fbxw2
ENSG00000171951	NM_003469	SCG2	7857	SN, CHGC, SgII	secretogranin II (chromogranin C) (SCG2), mRNA.	G2 arrest	Scg2
ENSG00000116786	XM_290944	PLEKHM2	23207	 	PREDICTED: pleckstrin homology domain containing, family M (with RUN domain) member 2 (PLEKHM2), mRNA.	G2 arrest	Plekhm2
ENSG00000180992	NM_032111	MRPL14	64928	RMPL32, RPML32, MRP-L32, MGC70566	mitochondrial ribosomal protein L14 (MRPL14), nuclear gene encoding mitochondrial protein, mRNA.	G2 arrest	Mrpl14
ENSG00000132676	NM_033657	DAP3	7818	DAP-3, MRPS29, MRP-S29, bMRP-10,MGC126058, MGC126059, DKFZp686G12159	death associated protein 3 (DAP3), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	G2 arrest	Dap3
ENSG00000142632	NM_153213	ARHGEF19	128272	WGEF, FLJ33962, RP4-733M16.1	Rho guanine nucleotide exchange factor (GEF) 19 (ARHGEF19), mRNA.	G2 arrest	Arhgef19
ENSG00000176720	NM_032515	BOK	666	BOKL, BCL2L9, MGC4631	BCL2-related ovarian killer (BOK), mRNA.	G2 arrest	Bok
ENSG00000091157	NM_052834,NM_015285	WDR7	23335	TRAG, KIAA0541	WD repeat domain 7 (WDR7), transcript variant 2, mRNA.	G2 arrest	Wdr7
ENSG00000159197	NM_172201	KCNE2	9992	LQT5, LQT6, MIRP1, MGC138292	potassium voltage-gated channel, Isk-related family, member 2 (KCNE2), mRNA.	G2 arrest	Kcne2
ENSG00000007168	NM_000430	PAFAH1B1	5048	LIS1, LIS2, MDCR, PAFAH	platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa (PAFAH1B1), mRNA.	G2 arrest	Pafah1b1
ENSG00000107165	NM_000550	TYRP1	7306	TRP, CAS2, CATB, GP75, TYRP, b-PROTEIN	tyrosinase-related protein 1 (TYRP1), mRNA.	G2 arrest	Tyrp1
ENSG00000156697	NM_006649	UTP14A	10813	KIAA0266, NY-CO-16, SDCCAG16, dJ537K23.3	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast) (UTP14A), mRNA.	G2 arrest	Utp14a
ENSG00000171298	NM_000152	GAA	2548	LYAG	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II) (GAA), mRNA.	G2 arrest	Gaa
ENSG00000061794	NM_021821	MRPS35	60488	MDS023, MRPS28, MRP-S28, HDCMD11P,MGC104278, DKFZp762P093	mitochondrial ribosomal protein S35 (MRPS35), nuclear gene encoding mitochondrial protein, mRNA.	G2 arrest	Mrps35
ENSG00000057608	NM_001494	GDI2	2665	RABGDIB, FLJ16452	GDP dissociation inhibitor 2 (GDI2), mRNA.	G2 arrest	Gdi2
ENSG00000101350	NM_004798	KIF3B	9371	HH0048, KIAA0359	kinesin family member 3B (KIF3B), mRNA.	G2 arrest	Kif3b
ENSG00000151148	NM_183415,NM_183414	UBE3B	89910	FLJ45294, MGC78388, MGC131858,DKFZp586K2123, DKFZp686A1051	ubiquitin protein ligase E3B (UBE3B), transcript variant 3, mRNA.	G2 arrest	Ube3b
ENSG00000113312	NM_003314	TTC1	7265	TPR1	tetratricopeptide repeat domain 1 (TTC1), mRNA.	G2 arrest	Ttc1
ENSG00000012232	NM_001440	EXTL3	2137	REG, RPR, REGR, botv, EXTR1, KIAA0519,DKFZp686C2342	exostoses (multiple)-like 3 (EXTL3), mRNA.	G2 arrest	Extl3
ENSG00000124766	NM_003107	SOX4	6659	EVI16	SRY (sex determining region Y)-box 4 (SOX4), mRNA.	G2 arrest	Sox4
ENSG00000185896	NM_005561	LAMP1	3916	LAMPA, CD107a, LGP120	lysosomal-associated membrane protein 1 (LAMP1), mRNA.	G2 arrest	Lamp1
ENSG00000135547	NM_012259	HEY2	23493	GRL, HERP1	hairy/enhancer-of-split related with YRPW motif 2 (HEY2), mRNA.	G2 arrest	Hey2
ENSG00000171408	NM_018945	PDE7B	27115	MGC88256, bA472E5.1	phosphodiesterase 7B (PDE7B), mRNA.	G2 arrest	Pde7b
ENSG00000178028	NM_001034024,NM_001034023	DMAP1	55929	EAF2, SWC4, DNMAP1, DNMTAP1, FLJ11543,KIAA1425, DKFZp686L09142	DNA methyltransferase 1 associated protein 1 (DMAP1), transcript variant 3, mRNA.	G2 arrest	Dmap1
ENSG00000167088	NM_006938	SNRPD1	6632	SMD1, SNRPD, HsT2456	small nuclear ribonucleoprotein D1 polypeptide 16kDa (SNRPD1), mRNA.	G2 arrest	Snrpd1
ENSG00000138161	NM_022034	CUZD1	50624	ERG-1, UO-44	CUB and zona pellucida-like domains 1 (CUZD1), mRNA.	G2 arrest	Cuzd1
ENSG00000110422	NM_005734	HIPK3	10114	PKY, YAK1, DYRK6	homeodomain interacting protein kinase 3 (HIPK3), mRNA.	G2 arrest	Hipk3
ENSG00000121089	XM_371715	NACA	389240	LOC389240	PREDICTED: similar to nascent polypeptide-associated complex alpha polypeptide (LOC389240), mRNA.	G2 arrest	Naca
ENSG00000164418	NM_175768	GRIK2	2898	EAA4, GLR6, GLUR6, MGC74427	glutamate receptor, ionotropic, kainate 2 (GRIK2), transcript variant 2, mRNA.	G2 arrest	Grik2
ENSG00000068878	NM_014614	PSME4	23198	PA200, FLJ21864, KIAA0077, MGC138374,MGC142228	proteasome (prosome, macropain) activator subunit 4 (PSME4), mRNA.	G2 arrest	Psme4
ENSG00000103423	NM_005147	DNAJA3	9093	TID1, hTid-1	DnaJ (Hsp40) homolog, subfamily A, member 3 (DNAJA3), mRNA.	G2 arrest	Dnaja3
ENSG00000172915	NM_015678	NBEA	26960	BCL8B, LYST2	neurobeachin (NBEA), mRNA.	G2 arrest	Nbea
ENSG00000003056	NM_002355	M6PR	4074	SMPR, MPR46, CD-MPR	mannose-6-phosphate receptor (cation dependent) (M6PR), mRNA.	G2 arrest	M6pr
ENSG00000143157	NM_017542	POGK	57645	BASS2, LST003, KIAA1513, KIAA15131	pogo transposable element with KRAB domain (POGK), mRNA.	G2 arrest	Pogk
ENSG00000136936	NM_000380	XPA	7507	XP1, XPAC	xeroderma pigmentosum, complementation group A (XPA), mRNA.	G2 arrest	Xpa
ENSG00000100578	NM_014749	KIAA0586	9786	Talpid3	KIAA0586 (KIAA0586), mRNA.	G2 arrest	2700049A03Rik
ENSG00000139546	NM_134323	TARBP2	6895	TRBP, TRBP1, TRBP2	Tar (HIV-1) RNA binding protein 2 (TARBP2), transcript variant 1, mRNA.	G2 arrest	Tarbp2
